[[368.211]] 
RATE (RPS) =====================================: 1

[[371.995]] 
RATE (RPS) =====================================: 1

[[353.797]] 
RATE (RPS) =====================================: 1

[[355.079]] 
RATE (RPS) =====================================: 1

[[353.396]] 
RATE (RPS) =====================================: 1

[[351.685]] 
RATE (RPS) =====================================: 1

[[363.449]] 
RATE (RPS) =====================================: 1

[[365.358]] 
RATE (RPS) =====================================: 1

[[352.307]] 
RATE (RPS) =====================================: 1

[[355.233]] 
RATE (RPS) =====================================: 1

[[385.401, 355.026]] 
RATE (RPS) =====================================: 2

[[403.37, 451.49]] 
RATE (RPS) =====================================: 2

[[365.173, 380.733]] 
RATE (RPS) =====================================: 2

[[391.747, 368.029]] 
RATE (RPS) =====================================: 2

[[389.124, 353.992]] 
RATE (RPS) =====================================: 2

[[381.163, 350.48]] 
RATE (RPS) =====================================: 2

[[387.875, 361.131]] 
RATE (RPS) =====================================: 2

[[355.024, 369.148]] 
RATE (RPS) =====================================: 2

[[358.329, 374.835]] 
RATE (RPS) =====================================: 2

[[397.419, 364.91]] 
RATE (RPS) =====================================: 2

[[447.965, 394.42, 365.545, 403.832]] 
RATE (RPS) =====================================: 4

[[357.467, 399.108, 374.712, 411.202]] 
RATE (RPS) =====================================: 4

[[359.412, 377.432, 395.932, 412.893]] 
RATE (RPS) =====================================: 4

[[353.544, 370.348, 386.965, 409.599]] 
RATE (RPS) =====================================: 4

[[353.229, 371.185, 391.774, 406.673]] 
RATE (RPS) =====================================: 4

[[358.964, 376.41, 392.192, 412.484]] 
RATE (RPS) =====================================: 4

[[363.27, 380.553, 420.192, 387.2]] 
RATE (RPS) =====================================: 4

[[429.222, 380.089, 350.715, 392.35]] 
RATE (RPS) =====================================: 4

[[411.691, 381.656, 351.973, 415.308]] 
RATE (RPS) =====================================: 4

[[354.674, 401.568, 366.264, 408.436]] 
RATE (RPS) =====================================: 4

[[375.015, 425.259, 388.797, 454.812, 470.457, 490.233, 510.68, 529.493]] 
RATE (RPS) =====================================: 8

