[[411.152]] 
RATE (RPS) =====================================: 1

[[396.249]] 
RATE (RPS) =====================================: 1

[[385.492]] 
RATE (RPS) =====================================: 1

[[392.27]] 
RATE (RPS) =====================================: 1

[[406.235]] 
RATE (RPS) =====================================: 1

[[422.945]] 
RATE (RPS) =====================================: 1

[[398.994]] 
RATE (RPS) =====================================: 1

[[397.368]] 
RATE (RPS) =====================================: 1

[[392.088]] 
RATE (RPS) =====================================: 1

[[383.835]] 
RATE (RPS) =====================================: 1

[[436.593, 394.524]] 
RATE (RPS) =====================================: 2

[[437.674, 479.604]] 
RATE (RPS) =====================================: 2

[[435.108, 393.952]] 
RATE (RPS) =====================================: 2

[[391.877, 432.57]] 
RATE (RPS) =====================================: 2

[[388.074, 420.151]] 
RATE (RPS) =====================================: 2

[[430.443, 387.889]] 
RATE (RPS) =====================================: 2

[[398.957, 442.455]] 
RATE (RPS) =====================================: 2

[[375.74, 415.61]] 
RATE (RPS) =====================================: 2

[[401.492, 442.255]] 
RATE (RPS) =====================================: 2

[[386.02, 423.971]] 
RATE (RPS) =====================================: 2

[[566.854, 484.468, 490.895, 390.763]] 
RATE (RPS) =====================================: 4

[[407.955, 539.265, 477.756, 430.555]] 
RATE (RPS) =====================================: 4

[[439.645, 393.978, 507.909, 458.548]] 
RATE (RPS) =====================================: 4

[[392.963, 414.934, 457.407, 499.165]] 
RATE (RPS) =====================================: 4

[[484.874, 389.503, 417.638, 499.743]] 
RATE (RPS) =====================================: 4

[[401.713, 418.644, 464.117, 488.795]] 
RATE (RPS) =====================================: 4

[[387.985, 421.584, 456.884, 479.023]] 
RATE (RPS) =====================================: 4

[[395.491, 478.938, 422.83, 497.403]] 
RATE (RPS) =====================================: 4

[[401.068, 438.756, 477.219, 513.015]] 
RATE (RPS) =====================================: 4

[[464.398, 421.998, 486.881, 540.25]] 
RATE (RPS) =====================================: 4

[[388.407, 431.334, 554.591, 460.211, 493.645, 571.63, 601.2, 629.533]] 
RATE (RPS) =====================================: 8

