[2019-12-12 11:14:51.539522] 636.28
[2019-12-12 11:14:53.769227] 398.679
[2019-12-12 11:14:55.917620] 390.326
[2019-12-12 11:14:58.077199] 394.426
[2019-12-12 11:15:00.341510] 389.873
[2019-12-12 11:15:03.091480] 446.497
[2019-12-12 11:15:05.422819] 388.723
[2019-12-12 11:15:07.828073] 416.597
[2019-12-12 11:15:10.338814] 477.969
[2019-12-12 11:15:12.756290] 483.421
[2019-12-12 11:15:16.711688] 490.836
[2019-12-12 11:15:20.719058] 400.307
[2019-12-12 11:15:24.446127] 461.284
[2019-12-12 11:15:27.234221] 402.924
[2019-12-12 11:15:30.731819] 369.439
[2019-12-12 11:15:33.060511] 347.617
[2019-12-12 11:15:35.177164] 373.935
[2019-12-12 11:15:37.373707] 364.739
[2019-12-12 11:15:40.270371] 387.726
[2019-12-12 11:15:42.374639] 369.748
[2019-12-12 11:15:44.531230] 354.378
[2019-12-12 11:15:46.642344] 342.488
[2019-12-12 11:15:48.736994] 364.662
[2019-12-12 11:15:50.864326] 344.313
[2019-12-12 11:15:54.351794] 458.955
[2019-12-12 11:15:56.432741] 347.891
[2019-12-12 11:15:58.561202] 342.746
[2019-12-12 11:16:00.648410] 352.838
[2019-12-12 11:16:03.794106] 361.251
[2019-12-12 11:16:05.930041] 363.241
[2019-12-12 11:16:08.040433] 369.979
[2019-12-12 11:16:10.202293] 362.814
[2019-12-12 11:16:12.311344] 361.37
[2019-12-12 11:16:14.512403] 380.286
[2019-12-12 11:16:16.616244] 360.253
[2019-12-12 11:16:18.719846] 342.708
[2019-12-12 11:16:20.831190] 358.711
[2019-12-12 11:16:22.997961] 385.24
[2019-12-12 11:16:25.127569] 351.934
[2019-12-12 11:16:27.288727] 374.855
