[2019-12-12 15:49:27.827058] 461.377
[2019-12-12 15:49:41.201633] 359.84
[2019-12-12 15:49:49.524875] 399.292
[2019-12-12 15:49:55.932371] 366.775
[2019-12-12 15:50:02.064331] 338.748
[2019-12-12 15:50:08.285384] 395.566
[2019-12-12 15:50:14.369865] 362.994
[2019-12-12 15:50:20.496768] 355.196
[2019-12-12 15:50:35.722268] 9304.372
[2019-12-12 15:50:43.350989] 641.309
[2019-12-12 15:50:51.793257] 1011.631
[2019-12-12 15:51:00.181118] 559.29
[2019-12-12 15:51:06.274780] 369.056
[2019-12-12 15:51:14.150160] 426.128
